ReviewID,ProductID,Rating,ReviewText
R941,P012,2,Won't buy again
R942,P013,5,"Fantastic, will buy again"
R943,P010,3,Neither good nor bad
R944,P015,3,Serves the purpose
R945,P013,3,Satisfactory
R946,P009,3,Average quality
R947,P009,2,Very disappointed
R948,P015,4,Loved it
R949,P010,5,Highly recommended
R950,P010,1,Defective on arrival
R951,P008,4,Very useful and good quality
R952,P016,3,Meh
R953,P017,4,Loved it
R954,P005,5,Very useful and good quality
R955,P004,1,Bad experience
R956,P018,1,Poor quality
R957,P019,5,Exactly what I needed
R958,P004,5,Great value for money
R959,P007,3,Serves the purpose
R960,P010,1,Terrible product
R961,P018,4,Exactly what I needed
R962,P019,2,Poor quality
R963,P004,2,Very disappointed
R964,P010,5,Highly recommended
R965,P001,3,Meh
R966,P018,2,One star
R967,P005,1,Poor quality
R968,P015,5,"Fantastic, will buy again"
R969,P017,4,Great value for money
R970,P003,5,Exactly what I needed
R971,P012,4,Great value for money
R972,P002,5,Very useful and good quality
R973,P001,5,"Fantastic, will buy again"
R974,P017,5,Exactly what I needed
R975,P016,4,Highly recommended
R976,P005,4,Very useful and good quality
R977,P015,5,"Fantastic, will buy again"
R978,P003,2,One star
R979,P007,3,Neither good nor bad
R980,P011,3,Nothing special
R981,P010,3,Serves the purpose
R982,P009,4,Great value for money
R983,P014,4,Excellent product!
R984,P013,2,Defective on arrival
R985,P002,3,Nothing special
R986,P003,3,It's okay
R987,P007,5,Excellent product!
R988,P018,4,Exactly what I needed
R989,P003,3,Satisfactory
R990,P010,2,Poor quality
R991,P007,2,Won't buy again
R992,P009,3,Neither good nor bad
R993,P017,4,Five stars
R994,P011,2,Won't buy again
R995,P007,5,Very useful and good quality
R996,P014,2,Poor quality
R997,P019,1,Very disappointed
R998,P004,1,Not worth it
R999,P006,4,Excellent product!
R1000,P010,3,Nothing special
